store_code,store_name,chainname,subchainname,storeid,address,city,zipcode,latitude,longitude,average_price_diff,popular_item_count
zol_007,הרב קוק,זול ובגדול,זול ובגדול,,הרב קוק 8 8,ירושלים,,31.782656716543883,35.22016991728373,-2.391270135700733,3773
zol_008,בית וגן חכמי,זול ובגדול,זול ובגדול,,יוסף חכמי 30 30,ירושלים,,31.762397628642,35.1908788227467,-2.0375592076036493,4960
zol_009,מעלה אדומים האבן,זול ובגדול,זול ובגדול,,האבן 15 אזור 07 15,מעלה אדומים,,31.779595939017558,35.313739981037656,-2.90293475180387,3054
zol_011,פסגת זאב הגדול,זול ובגדול,זול ובגדול,,יקותיאל אדם 2,ירושלים,,31.81985965462172,35.239033308052285,-2.546788700422487,6947
zol_012,הפסגה 16,זול ובגדול,זול ובגדול,,הפסגה 16,ירושלים,,31.7691712,35.1823198,-1.281994469454509,2555
zol_013,הר נוף,זול ובגדול,זול ובגדול,,שאולזון 57,ירושלים,,31.7834215,35.1736046,-1.5515071503922075,3380
zol_014,פ.זאב מרידור,זול ובגדול,זול ובגדול,,אליהו מרידור 2,ירושלים,,31.81651385861792,35.252714409875495,-2.6282614879765402,3741
zol_015,קרית יובל,זול ובגדול,זול ובגדול,,אורגוואי 31,ירושלים,,31.7548539,35.1776498,-2.1002343125234653,3753
zol_016,מחנה יהודה,זול ובגדול,זול ובגדול,,יפו 113,ירושלים,,31.7865467,35.21297819999999,-2.2261556818320933,4782
zol_018,אשקלון עתיקות,זול ובגדול,זול ובגדול,,יהודה הלוי 38,אשקלון,,31.6577971863612,34.562768265687566,-2.288610524707759,4371
zol_019,אשדוד,זול ובגדול,זול ובגדול,,"הרי הגולן  רובע י""א 12",אשדוד,,31.7809928,34.6316162,-2.3244128102568444,4547
zol_020,כפר עזר,זול ובגדול,זול ובגדול,,מרכז מסחרי השחף 20,כפר עזר,,31.736151,34.671447,-2.732450578442321,3478
zol_021,אשקלון סיטי,זול ובגדול,זול ובגדול,,בן גוריון 21,אשקלון,,31.66386110503333,34.56443119452367,-2.5951636747164746,3898
zol_023,רמות לואי ליפסקי,זול ובגדול,זול ובגדול,,לואי ליפסקי 39,ירושלים,,31.816404463204467,35.202911674605886,-1.4660237127287978,2755
zol_024,רמות ב',זול ובגדול,זול ובגדול,,צונדק 109,ירושלים,,31.81232996564091,35.19508772336755,-1.4982304567955416,3878
zol_025,מבשרת ציון,זול ובגדול,זול ובגדול,,החושן 3,מבשרת ציון,,31.8083301,35.1561336,-2.6010948828996723,4156
zol_027,ניות- הרצוג,זול ובגדול,זול ובגדול,,הרצוג 61,ירושלים,,31.7661241,35.2046833,-2.2604593099858192,5977
zol_028,מושב יתד,זול ובגדול,זול ובגדול,,אבשלום אזור תעשיה 0,יתד,,31.2057442,34.3269674,-2.233578062290127,4235
zol_030,נביאים,זול ובגדול,זול ובגדול,,הנביאים 84,ירושלים,,31.785392211654,35.2157297393941,-1.7917616794472764,3554
zol_031,מעלה אדומים העירית II,זול ובגדול,זול ובגדול,,העירית 1,מעלה אדומים,,31.769649797445435,35.3066171077935,-2.6650482470778574,2684
zol_032,הבקעה,זול ובגדול,זול ובגדול,,מפגש הבשקעה(מפגש יפית) 0,בקעת הירדן,,32.0558853,35.4694328,-2.1439831636592586,5965
zol_035,כל זול בר אילן,זול ובגדול,זול ובגדול,,בר אילן 5,ירושלים,,31.7939106,35.2153565,-1.187543094351324,3931
zol_036,אוהלי יוסף,זול ובגדול,זול ובגדול,,אוהלי יוסף 3,ירושלים,,31.7949501,35.2177594,-1.4577088305626598,4406
zol_037,הפלמח 38,זול ובגדול,זול ובגדול,,פלמח 38,ירושלים,,31.76680619999999,35.2094344,-2.4229418096101942,3551
zol_038,עוזיאל  111,זול ובגדול,זול ובגדול,,עוזיאל 111,ירושלים,,31.76470301441117,35.18883110802147,-1.7664751475184612,4228
zol_039,הרב אויירבך בית שמש,זול ובגדול,זול ובגדול,,הרב אויירבך 62,בית שמש,,31.7075214,34.995716,-1.4704274761288614,4936
zol_040,יפו 212,זול ובגדול,זול ובגדול,,יפו 212,ירושלים,,31.7883581,35.206359,-2.054718424468805,5702
zol_041,ארץ חפץ,זול ובגדול,זול ובגדול,,ארץ חפץ 106,ירושלים,,31.7957476,35.223376,-1.925941669096266,2026
zol_042,קליינמן,זול ובגדול,זול ובגדול,,קליימן 6,ירושלים,,31.7634976,35.1744974,-2.1362951857251224,3907
zol_089,פסגת זאב,זול ובגדול,זול ובגדול,,חיל האוויר 15,ירושלים,,31.83114302859639,35.246148378834036,0.03670863876588824,2804
